GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US19,19,Iowa,1600000US1916590,1916590,"Iowa - PLACE - Corwith city, Hancock County","Corwith city, Hancock County",309,167,1.48,0.00,1.48,209.2,113.0
0400000US19,19,Iowa,1600000US1916635,1916635,"Iowa - PLACE - Corydon city, Wayne County","Corydon city, Wayne County",1585,785,1.39,0.00,1.39,1137.9,563.6
0400000US19,19,Iowa,1600000US1916725,1916725,"Iowa - PLACE - Cotter city, Louisa County","Cotter city, Louisa County",48,24,0.25,0.00,0.25,195.6,97.8
0400000US19,19,Iowa,1600000US1916815,1916815,"Iowa - PLACE - Coulter city, Franklin County","Coulter city, Franklin County",281,117,2.45,0.00,2.45,114.7,47.7
0400000US19,19,Iowa,1600000US1916860,1916860,"Iowa - PLACE - Council Bluffs city, Pottawattamie County","Council Bluffs city, Pottawattamie County",62230,26594,43.62,2.64,40.97,1518.8,649.1
0400000US19,19,Iowa,1600000US1916950,1916950,"Iowa - PLACE - Craig city, Plymouth County","Craig city, Plymouth County",89,45,0.09,0.00,0.09,981.0,496.0
0400000US19,19,Iowa,1600000US1917130,1917130,"Iowa - PLACE - Crawfordsville city, Washington County","Crawfordsville city, Washington County",264,120,0.35,0.00,0.35,751.7,341.7
0400000US19,19,Iowa,1600000US1917175,1917175,"Iowa - PLACE - Crescent city, Pottawattamie County","Crescent city, Pottawattamie County",617,241,1.09,0.00,1.09,565.8,221.0
0400000US19,19,Iowa,1600000US1917220,1917220,"Iowa - PLACE - Cresco city, Howard County","Cresco city, Howard County",3868,1821,3.35,0.00,3.35,1155.3,543.9
0400000US19,19,Iowa,1600000US1917265,1917265,"Iowa - PLACE - Creston city, Union County","Creston city, Union County",7834,3773,5.25,0.06,5.19,1510.1,727.3
0400000US19,19,Iowa,1600000US1917490,1917490,"Iowa - PLACE - Cromwell city, Union County","Cromwell city, Union County",107,48,0.29,0.00,0.29,368.9,165.5
0400000US19,19,Iowa,1600000US1917670,1917670,"Iowa - PLACE - Crystal Lake city, Hancock County","Crystal Lake city, Hancock County",250,140,0.25,0.00,0.25,981.0,549.4
0400000US19,19,Iowa,1600000US1917760,1917760,"Iowa - PLACE - Cumberland city, Cass County","Cumberland city, Cass County",262,132,0.60,0.00,0.60,436.2,219.8
0400000US19,19,Iowa,1600000US1917850,1917850,"Iowa - PLACE - Cumming city, Warren County","Cumming city, Warren County",351,136,2.57,0.01,2.56,137.4,53.2
0400000US19,19,Iowa,1600000US1917895,1917895,"Iowa - PLACE - Curlew city, Palo Alto County","Curlew city, Palo Alto County",58,31,0.76,0.00,0.76,76.6,40.9
0400000US19,19,Iowa,1600000US1917940,1917940,"Iowa - PLACE - Cushing city, Woodbury County","Cushing city, Woodbury County",220,115,0.32,0.00,0.32,683.5,357.3
0400000US19,19,Iowa,1600000US1917985,1917985,"Iowa - PLACE - Cylinder city, Palo Alto County","Cylinder city, Palo Alto County",88,44,0.07,0.00,0.07,1241.1,620.5
0400000US19,19,Iowa,1600000US1918075,1918075,"Iowa - PLACE - Dakota City city, Humboldt County","Dakota City city, Humboldt County",843,382,0.78,0.04,0.74,1143.1,518.0
0400000US19,19,Iowa,1600000US1918255,1918255,"Iowa - PLACE - Dallas Center city, Dallas County","Dallas Center city, Dallas County",1623,669,4.58,0.00,4.58,354.2,146.0
0400000US19,19,Iowa,1600000US1918345,1918345,"Iowa - PLACE - Dana city, Greene County","Dana city, Greene County",71,32,0.28,0.00,0.28,252.2,113.7
